EVALUACION_ID,ZONA_ID,ZONA_NOMBRE,REGION,PROVINCIA,DISTRITO,LATITUD,LONGITUD,ALTITUD_MSNM,SUPERFICIE_HA,TIPO_YACIMIENTO,MINERAL_PRINCIPAL,CONCESION_ID,ESTADO_CONCESION,EMPRESA_OPERADORA,ACCESIBILIDAD_SCORE,DISPONIBILIDAD_AGUA_SCORE,DISTANCIA_VIA_PRINCIPAL_KM,DISTANCIA_PLANTA_KM,FASE_EXPLORACION,ANIO,TRIMESTRE,MES,FECHA_EVALUACION,EVALUADOR,METODO_EVALUACION,SISMICIDAD_INDICE,DISTANCIA_FALLA_GEOLOGICA_KM,ESTABILIDAD_TALUD_SCORE,PENDIENTE_PROMEDIO_PCT,NIVEL_FREATICO_M,CAUDAL_INFILTRACION_LPS,POTENCIAL_DRENAJE_ACIDO_PH,EVENTOS_GEOLOGICOS_12M,DISTANCIA_AREA_PROTEGIDA_KM,DISTANCIA_CUERPO_AGUA_KM,INDICE_ESTRES_HIDRICO,COBERTURA_VEGETAL_PCT,CALIDAD_AIRE_PM10_UGM3,PASIVOS_AMBIENTALES_NUM,ESPECIES_SENSIBLES_NUM,CONSUMO_AGUA_M3_MES,HUELLA_CARBONO_TCO2E_MES,COMUNIDADES_INFLUENCIA_NUM,POBLACION_INFLUENCIA,DISTANCIA_COMUNIDAD_KM,CONFLICTOS_REGISTRADOS_12M,DIAS_PARALIZACION_12M,INDICE_ACEPTACION_SOCIAL,CONVENIOS_VIGENTES_NUM,EMPLEO_LOCAL_PCT,IDH_DISTRITAL,POBREZA_DISTRITAL_PCT,QUEJAS_REGISTRADAS_12M,COSTO_MITIGACION_EJECUTADO_USD,ACCIONES_MITIGACION_NUM,ESTADO_REVISION,REVISOR_ASIGNADO,DECISION_ESPECIALISTA,FECHA_DECISION,COMENTARIO_REVISION,MONEDA
EVR-003210,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Prospeccion,2020,Q1,2020-02,2020-02-23,P. Huaman,Analisis documental,5.55,19.52,2.34,31.8,39.2,19.41,6.16,1,50.33,14.43,0.706,32.8,98.1,6,9,14063.2,1183.5,4,10348,15.82,4,20,0.354,2,27.0,0.378,38.8,25,425437.44,9,Pendiente,M. Rojas,,,,USD
EVR-003211,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2020,Q1,2020-03,2020-03-07,J. Mendoza,Matriz multicriterio,5.65,19.52,2.02,31.8,58.2,19.85,5.54,4,50.33,14.43,0.481,27.1,113.3,7,9,12478.0,1663.2,4,10348,15.82,4,30,0.356,3,33.0,0.378,38.8,20,487245.53,3,Pendiente,S. Ccahuana,,,,USD
EVR-003212,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2020,Q2,2020-04,2020-04-19,P. Huaman,Panel de expertos,6.53,19.52,3.02,31.8,71.6,38.54,5.62,3,50.33,14.43,0.264,37.4,123.0,2,9,13042.6,1133.6,4,10348,15.82,6,12,0.365,4,26.4,0.378,38.8,24,340757.7,7,Pendiente,M. Rojas,,,,USD
EVR-003213,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2020,Q2,2020-05,2020-05-02,C. Ticona,Inspeccion de campo,4.1,19.52,3.79,31.8,85.0,18.32,6.4,1,50.33,14.43,0.28,30.8,133.6,10,9,24472.0,1505.9,4,10348,15.82,7,19,0.381,2,28.7,0.378,38.8,12,85584.84,8,Observada,R. Salazar,Continuar con condiciones,2020-05-13,Pendiente levantamiento de pasivos ambientales identificados,USD
EVR-003214,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2020,Q2,2020-06,2020-06-24,J. Mendoza,Modelo estadistico,5.66,19.52,3.2,31.8,10.9,25.1,6.76,2,50.33,14.43,0.3,17.7,83.3,4,9,16508.2,433.6,4,10348,15.82,6,16,0.587,4,44.0,0.378,38.8,26,178391.57,12,En revision,R. Salazar,,,,USD
EVR-003215,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2020,Q3,2020-07,2020-07-22,P. Huaman,Matriz multicriterio,4.38,19.52,3.91,31.8,58.9,23.15,5.44,1,50.33,14.43,0.304,21.5,102.5,5,9,27922.1,382.3,4,10348,15.82,5,16,0.363,1,7.9,0.378,38.8,19,600089.13,8,Pendiente,R. Salazar,,,,USD
EVR-003216,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2020,Q3,2020-08,2020-08-25,N. Bustamante,Inspeccion de campo,3.68,19.52,2.76,31.8,56.8,20.88,5.44,3,50.33,14.43,0.342,31.9,50.7,5,9,27188.0,1594.8,4,10348,15.82,8,25,0.489,4,53.0,0.378,38.8,27,705228.98,3,Rechazada,C. Ticona,Suspender actividades,2020-09-14,Sin observaciones relevantes en el periodo evaluado,USD
EVR-003217,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2020,Q3,2020-09,2020-09-22,P. Huaman,Analisis documental,7.22,19.52,2.8,31.8,35.7,26.8,5.23,1,50.33,14.43,0.689,41.2,102.6,4,9,20751.9,2096.8,4,10348,15.82,6,21,0.2,3,40.8,0.378,38.8,17,206951.48,8,Revisada,D. Vargas,Continuar con monitoreo,2020-10-12,Se recomienda taller informativo con la comunidad de influencia directa,USD
EVR-003218,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2020,Q4,2020-10,2020-10-27,S. Ccahuana,Inspeccion de campo,4.13,19.52,3.28,31.8,66.0,14.44,5.82,1,50.33,14.43,0.364,24.4,103.0,6,9,19210.6,1103.1,4,10348,15.82,6,7,0.453,3,18.7,0.378,38.8,23,640347.45,10,En revision,M. Rojas,,,,USD
EVR-003219,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2020,Q4,2020-11,2020-11-06,L. Chavez,Matriz multicriterio,3.04,19.52,3.69,31.8,24.7,17.78,6.02,4,50.33,14.43,0.423,63.3,131.4,9,9,14572.3,1609.4,4,10348,15.82,7,25,0.11,3,24.4,0.378,38.8,17,388811.72,0,Observada,S. Ccahuana,Continuar con condiciones,2020-11-09,Pendiente levantamiento de pasivos ambientales identificados,USD
EVR-003220,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2020,Q4,2020-12,2020-12-15,L. Chavez,Analisis documental,4.13,19.52,3.66,31.8,30.2,32.25,6.15,4,50.33,14.43,0.502,37.1,48.1,5,9,26607.1,1329.8,4,10348,15.82,4,11,0.426,4,27.2,0.378,38.8,18,544889.81,3,Aprobada,S. Ccahuana,Continuar exploracion,2020-12-20,Aprobado condicionado a plan de manejo de aguas acidas,USD
EVR-003221,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Prospeccion,2021,Q1,2021-01,2021-01-10,D. Vargas,Analisis documental,7.46,19.52,3.3,31.8,65.2,11.8,6.24,4,50.33,14.43,0.631,43.5,15.8,11,9,7466.2,716.0,4,10348,15.82,5,19,0.427,1,33.0,0.378,38.8,14,651799.7,7,Observada,L. Chavez,Continuar con condiciones,2021-01-25,Observado por cercania a area natural protegida,USD
EVR-003222,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2021,Q1,2021-02,2021-02-10,J. Mendoza,Analisis documental,3.42,19.52,4.1,31.8,36.5,4.75,7.26,4,50.33,14.43,0.242,30.1,88.4,10,9,13890.4,751.2,4,10348,15.82,7,16,0.359,1,48.6,0.378,38.8,17,619609.91,0,Aprobada,J. Mendoza,Continuar exploracion,2021-02-18,Riesgo aceptable con monitoreo trimestral,USD
EVR-003223,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2021,Q1,2021-03,2021-03-16,A. Quispe,Panel de expertos,5.13,19.52,2.97,31.8,61.2,4.38,7.34,2,50.33,14.43,0.807,41.6,58.4,5,9,17345.3,1174.7,4,10348,15.82,6,12,0.371,2,43.3,0.378,38.8,16,398066.01,3,Pendiente,D. Vargas,,,,USD
EVR-003224,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2021,Q2,2021-04,2021-04-27,L. Chavez,Analisis documental,4.17,19.52,2.92,31.8,20.7,14.02,7.02,2,50.33,14.43,0.574,19.5,96.4,5,9,21330.1,491.6,4,10348,15.82,6,17,0.492,5,54.7,0.378,38.8,27,496337.1,6,Observada,J. Mendoza,Continuar con condiciones,2021-05-06,Observado por cercania a area natural protegida,USD
EVR-003225,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2021,Q2,2021-05,2021-05-17,J. Mendoza,Analisis documental,4.07,19.52,3.86,31.8,58.6,30.69,4.93,2,50.33,14.43,0.26,45.5,47.8,7,9,22211.0,1064.9,4,10348,15.82,4,24,0.493,0,16.1,0.378,38.8,16,820109.95,7,Revisada,S. Ccahuana,Continuar con monitoreo,2021-05-20,Requiere actualizar el estudio hidrogeologico antes de continuar,USD
EVR-003226,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2021,Q2,2021-06,2021-06-11,M. Rojas,Inspeccion de campo,2.58,19.52,2.03,31.8,57.7,24.61,6.01,2,50.33,14.43,0.362,36.5,118.6,4,9,19506.8,373.9,4,10348,15.82,6,16,0.321,2,14.1,0.378,38.8,22,533408.61,7,En revision,M. Rojas,,,,USD
EVR-003227,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2021,Q3,2021-07,2021-07-04,D. Vargas,Panel de expertos,4.89,19.52,3.6,31.8,22.7,19.02,7.81,4,50.33,14.43,0.539,38.5,88.3,5,9,12174.6,901.4,4,10348,15.82,6,4,0.524,3,36.4,0.378,38.8,25,487969.25,4,Aprobada,L. Chavez,Continuar exploracion,2021-07-09,Riesgo aceptable con monitoreo trimestral,USD
EVR-003228,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2021,Q3,2021-08,2021-08-01,L. Chavez,Inspeccion de campo,2.27,19.52,2.96,31.8,59.2,24.43,5.02,4,50.33,14.43,0.175,26.8,114.3,3,9,17100.2,1800.2,4,10348,15.82,7,35,0.266,5,57.7,0.378,38.8,17,416944.5,2,Aprobada,J. Mendoza,Continuar exploracion,2021-08-15,Se recomienda taller informativo con la comunidad de influencia directa,USD
EVR-003229,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2021,Q3,2021-09,2021-09-16,L. Chavez,Modelo estadistico,4.76,19.52,4.21,31.8,78.7,19.14,3.98,5,50.33,14.43,0.402,25.3,156.7,3,9,24379.2,1665.3,4,10348,15.82,5,12,0.394,2,29.9,0.378,38.8,18,527489.21,5,Aprobada,A. Quispe,Continuar exploracion,2021-10-04,Pendiente levantamiento de pasivos ambientales identificados,USD
EVR-003230,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2021,Q4,2021-10,2021-10-19,L. Chavez,Matriz multicriterio,3.39,19.52,3.6,31.8,55.2,30.24,5.42,4,50.33,14.43,0.562,29.8,20.8,7,9,20645.5,1254.4,4,10348,15.82,3,16,0.295,3,45.1,0.378,38.8,12,159087.96,7,Aprobada,S. Ccahuana,Continuar exploracion,2021-10-29,Aprobado condicionado a plan de manejo de aguas acidas,USD
EVR-003231,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2021,Q4,2021-11,2021-11-06,R. Salazar,Matriz multicriterio,2.85,19.52,4.31,31.8,72.2,25.75,6.37,2,50.33,14.43,0.501,11.2,62.9,3,9,18371.5,782.1,4,10348,15.82,6,18,0.461,2,26.7,0.378,38.8,34,380273.56,12,Aprobada,S. Ccahuana,Continuar exploracion,2021-11-21,Escalar a comite por conflictividad social creciente,USD
EVR-003232,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2021,Q4,2021-12,2021-12-03,D. Vargas,Matriz multicriterio,4.3,19.52,3.92,31.8,38.1,25.74,5.71,5,50.33,14.43,0.541,34.7,130.1,7,9,8892.9,1342.9,4,10348,15.82,4,10,0.465,3,35.6,0.378,38.8,22,657514.53,5,Pendiente,D. Vargas,,,,USD
EVR-003233,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Prospeccion,2022,Q1,2022-01,2022-01-25,N. Bustamante,Modelo estadistico,5.76,19.52,3.19,31.8,64.4,23.76,6.63,2,50.33,14.43,0.356,29.2,100.5,3,9,14913.6,1381.9,4,10348,15.82,8,20,0.278,3,27.6,0.378,38.8,22,414835.52,7,Aprobada,M. Rojas,Continuar exploracion,2022-02-06,Escalar a comite por conflictividad social creciente,USD
EVR-003234,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2022,Q1,2022-02,2022-02-07,D. Vargas,Analisis documental,4.56,19.52,3.2,31.8,34.8,28.08,6.76,4,50.33,14.43,0.091,62.4,71.0,4,9,11255.2,1352.2,4,10348,15.82,7,17,0.495,5,53.9,0.378,38.8,18,775571.38,8,En revision,N. Bustamante,,,,USD
EVR-003235,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2022,Q1,2022-03,2022-03-20,R. Salazar,Matriz multicriterio,2.85,19.52,4.17,31.8,46.9,21.16,7.11,4,50.33,14.43,0.683,35.9,104.3,7,9,25305.3,1356.8,4,10348,15.82,6,26,0.643,2,37.5,0.378,38.8,16,695191.7,3,En revision,N. Bustamante,,,,USD
EVR-003236,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2022,Q2,2022-04,2022-04-20,P. Huaman,Inspeccion de campo,3.66,19.52,3.84,31.8,54.3,30.51,6.4,1,50.33,14.43,0.428,42.1,89.9,11,9,14562.4,451.7,4,10348,15.82,5,33,0.555,3,37.5,0.378,38.8,23,446364.49,1,Observada,J. Mendoza,Continuar con condiciones,2022-04-24,Riesgo aceptable con monitoreo trimestral,USD
EVR-003237,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2022,Q2,2022-05,2022-05-27,N. Bustamante,Analisis documental,3.98,19.52,4.46,31.8,75.2,25.65,5.63,4,50.33,14.43,0.64,25.7,47.0,8,9,15010.2,647.7,4,10348,15.82,3,18,0.341,2,23.7,0.378,38.8,7,519531.12,6,Aprobada,L. Chavez,Continuar exploracion,2022-06-20,Aprobado condicionado a plan de manejo de aguas acidas,USD
EVR-003238,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2022,Q2,2022-06,2022-06-22,M. Rojas,Analisis documental,2.38,19.52,2.93,31.8,25.9,21.85,6.28,4,50.33,14.43,0.462,13.7,112.4,5,9,6370.3,1068.0,4,10348,15.82,9,33,0.409,2,15.9,0.378,38.8,21,324676.76,7,Aprobada,N. Bustamante,Continuar exploracion,2022-07-09,Requiere actualizar el estudio hidrogeologico antes de continuar,USD
EVR-003239,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2022,Q3,2022-08,2022-08-08,P. Huaman,Matriz multicriterio,6.28,19.52,2.13,31.8,73.6,14.06,5.31,4,50.33,14.43,0.67,45.0,29.0,7,9,21216.2,1947.7,4,10348,15.82,4,14,0.475,4,10.8,0.378,38.8,9,518041.6,8,En revision,S. Ccahuana,,,,USD
EVR-003240,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2022,Q3,2022-09,2022-09-07,N. Bustamante,Matriz multicriterio,4.92,19.52,2.31,31.8,85.0,6.26,5.39,3,50.33,14.43,0.359,31.5,70.7,6,9,18724.5,727.3,4,10348,15.82,4,12,0.387,4,22.0,0.378,38.8,26,146218.07,10,Rechazada,M. Rojas,Suspender actividades,2022-09-15,Se recomienda taller informativo con la comunidad de influencia directa,USD
EVR-003241,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2022,Q4,2022-10,2022-10-18,J. Mendoza,Panel de expertos,3.8,19.52,4.24,31.8,78.7,17.73,7.61,4,50.33,14.43,0.497,21.8,57.6,2,9,28289.8,1244.8,4,10348,15.82,4,22,0.423,2,8.8,0.378,38.8,20,544070.94,2,Observada,J. Mendoza,Continuar con condiciones,2022-10-25,Verificar vigencia de convenios con la comunidad,USD
EVR-003242,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2022,Q4,2022-11,2022-11-02,C. Ticona,Analisis documental,3.85,19.52,3.05,31.8,47.9,22.43,5.93,3,50.33,14.43,0.465,8.4,54.1,4,9,20121.6,611.9,4,10348,15.82,5,24,0.757,5,47.2,0.378,38.8,14,612889.76,7,Pendiente,A. Quispe,,,,USD
EVR-003243,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2022,Q4,2022-12,2022-12-14,R. Salazar,Panel de expertos,4.6,19.52,3.36,31.8,41.8,18.91,6.8,2,50.33,14.43,0.522,78.0,89.7,13,9,17234.1,1222.1,4,10348,15.82,4,12,0.446,2,51.1,0.378,38.8,3,526466.84,10,Pendiente,N. Bustamante,,,,USD
EVR-003244,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2023,Q1,2023-02,2023-02-03,M. Rojas,Modelo estadistico,3.97,19.52,2.54,31.8,30.0,13.42,7.19,0,50.33,14.43,0.315,3.2,88.8,6,9,18397.0,1515.7,4,10348,15.82,0,11,0.512,4,43.2,0.378,38.8,27,748620.65,8,Rechazada,A. Quispe,Suspender actividades,2023-02-14,Verificar vigencia de convenios con la comunidad,USD
EVR-003245,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Prospeccion,2023,Q1,2023-03,2023-03-10,A. Quispe,Inspeccion de campo,4.66,19.52,3.69,31.8,41.1,11.62,6.11,4,50.33,14.43,0.549,20.5,83.6,3,9,27576.7,967.5,4,10348,15.82,6,21,0.578,4,31.2,0.378,38.8,20,398285.83,3,Rechazada,L. Chavez,Suspender actividades,2023-03-12,Observado por cercania a area natural protegida,USD
EVR-003246,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Avanzada,2023,Q2,2023-05,2023-05-16,J. Mendoza,Modelo estadistico,5.12,19.52,3.12,31.8,36.5,16.37,7.89,2,50.33,14.43,0.641,36.3,80.0,3,9,22781.0,1951.9,4,10348,15.82,5,10,0.768,4,45.0,0.378,38.8,14,13748.12,4,Aprobada,L. Chavez,Continuar exploracion,2023-05-21,Pendiente levantamiento de pasivos ambientales identificados,USD
EVR-003247,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2023,Q2,2023-06,2023-06-28,M. Rojas,Panel de expertos,5.8,19.52,4.74,31.8,23.4,19.3,5.23,3,50.33,14.43,0.111,28.3,35.9,9,9,8154.2,35,4,10348,15.82,8,15,0.303,1,45.0,0.378,38.8,21,133154.01,8,Pendiente,P. Huaman,,,,USD
EVR-003248,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2023,Q3,2023-07,2023-07-18,M. Rojas,Analisis documental,5.15,19.52,3.86,31.8,84.4,1.54,5.89,0,50.33,14.43,0.547,29.7,83.9,2,9,13951.6,1117.3,4,10348,15.82,7,13,0.307,1,31.4,0.378,38.8,14,422528.82,3,Pendiente,P. Huaman,,,,USD
EVR-003249,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2023,Q3,2023-08,2023-08-25,R. Salazar,Modelo estadistico,6.24,19.52,3.82,31.8,55.8,24.02,4.85,3,50.33,14.43,0.512,20.8,70.9,9,9,37053.2,1183.1,4,10348,15.82,5,21,0.677,2,41.6,0.378,38.8,21,340363.03,5,Pendiente,A. Quispe,,,,USD
EVR-003250,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2023,Q3,2023-09,2023-09-08,J. Mendoza,Matriz multicriterio,4.33,19.52,3.99,31.8,58.3,0.2,6.88,2,50.33,14.43,0.213,31.8,91.5,6,9,9400.6,1255.5,4,10348,15.82,9,19,0.354,4,26.8,0.378,38.8,16,368967.72,5,Rechazada,J. Mendoza,Suspender actividades,2023-09-30,Verificar vigencia de convenios con la comunidad,USD
EVR-003251,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Evaluacion Economica,2023,Q4,2023-10,2023-10-03,J. Mendoza,Matriz multicriterio,2.83,19.52,3.74,31.8,53.0,23.77,5.21,1,50.33,14.43,0.204,20.3,44.4,8,9,15295.3,1444.1,4,10348,15.82,3,25,0.54,2,34.7,0.378,38.8,12,331695.57,3,Rechazada,P. Huaman,Suspender actividades,2023-10-28,Requiere actualizar el estudio hidrogeologico antes de continuar,USD
EVR-003252,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Prospeccion,2023,Q4,2023-11,2023-11-28,C. Ticona,Panel de expertos,5.1,19.52,3.67,31.8,60.8,32.4,5.51,3,50.33,14.43,0.338,74.0,55.8,5,9,15233.8,868.7,4,10348,15.82,4,22,0.345,3,42.5,0.378,38.8,17,573813.02,4,En revision,N. Bustamante,,,,USD
EVR-003253,Z0040,Zona Milluni Alto,Cusco,Canchis,Espinar Grande,-14.61969,-71.41089,3388,4014.0,Porfido,Oro,CON-621343,Vigente,Andes Exploration SAC,2.48,3.83,78.4,237.0,Exploracion Inicial,2023,Q4,2023-12,2023-12-03,N. Bustamante,Analisis documental,6.52,19.52,3.48,31.8,71.3,25.88,7.56,2,50.33,14.43,0.506,32.9,72.9,4,9,23861.6,1027.2,4,10348,15.82,5,15,0.617,2,48.4,0.378,38.8,31,316691.73,3,Pendiente,D. Vargas,,,,USD
